,Species,RMS,SpectralFlux,Entropy,Flatness,SpectCentroid,Contrast1,Contrast2,Contrast3,Contrast4
53,Prunella_atrogularis,1.1928781194640603,-0.42765626808007556,12.273596048825171,-4.310553550720215,8.689757478309133,2.920724604847729,2.592646798661795,2.5332173941485263,4.074378438723652
54,Prunella_collaris,1.2365041349903025,-0.4846094449361165,12.44404723619843,-5.772526105244954,8.203483890683373,3.1056253306601653,2.185915246224592,2.647273353824589,4.205546123961102
55,Hirundo_rupestris,1.0863965850370232,-0.5248903632164001,15.095511349681491,-4.6307454109191895,8.360831688287064,3.13984481471471,2.9245603631841566,2.619557904733446,4.15563443913048
56,Rhodopechys_obsoletus,1.867292331845848,-0.45257458090782166,12.182653808533184,-4.404757380485535,8.365770456524107,2.975953952074248,2.7415303736141987,2.7001044547928292,4.13688971805418
57,Serinus_syriacus,1.0707440783505553,-0.6239573061466217,12.900434455955429,-5.101269054412842,8.24505166781002,3.4095563036160876,2.188091824590953,2.604068399017685,4.217770967361491
58,Sitta_whiteheadi,1.066845007236919,-0.5757085084915161,9.108303584992195,-5.846949656804402,8.044197250956241,2.6211797004117545,2.2596433727087617,2.7917103877687452,4.20720004546332
59,Sylvia_atricapilla,1.4422560797807542,-0.5220577220122019,11.024305846636096,-5.040198008219401,8.205229626057806,3.252952782383524,2.170786554594338,2.604130627904163,4.217625548054575
60,Sylvia_conspicillata,1.0968383265089185,-0.5062486280997595,11.015088871637253,-4.809437910715739,8.367060427295778,3.0069450792559835,2.1719530810200274,2.6899537226618353,4.161868704545159
61,Sylvia_melanocephala,0.9987693482691018,-0.5805318593978882,12.897399847108584,-6.84236421585083,8.139733617509766,3.0605302152014593,2.836998027840594,2.9081444199789344,4.215901907800129
62,Anthus_berthelotii,0.9515107218007671,-0.700084125995636,8.314090215060066,-6.161905288696289,8.385463285329983,2.5982343051521672,2.5813718772649947,2.5378799854192997,4.1888387292760445
63,Calcarius_lapponicus,1.1479577364789055,-0.6926167805989584,12.515681279715153,-4.756710688273112,8.296741599461184,2.9452444968165685,2.16832114622953,2.7289425147367585,4.178058353915531
64,Carduelis_chloris,1.0916136091312438,-0.6888131201267242,11.019068211484893,-3.6345548033714294,8.311855523548926,3.2995020214066875,2.3572080898600922,2.425809713693036,4.153191888612023
65,Cercomela_melanura,1.3387590303226595,-0.47386767268180846,8.44182579712865,-4.406528520584106,7.9565818023457755,2.810230492059324,2.442835165285141,2.73987302591649,4.184056564728553
66,Emberiza_caesia,1.3381012757940423,-1.1006604254245758,8.294719191312218,-4.535710430145263,8.420622612940036,2.9206546681993593,2.1640128364501856,2.676597982584422,4.16886603254783
67,Emberiza_melanocephala,1.268505087679646,-0.6761218706766764,10.816890590293696,-5.498259544372559,8.151204976530433,2.8588591383671775,2.152445815240943,2.957103697239964,4.225036417681378
68,Emberiza_pusilla,1.0861325129448955,-0.5086964786052703,11.142142793814582,-6.548888492584228,8.372117178742698,2.9549868314336605,2.199953514653914,2.5813908309832656,4.206608843620642
69,Eremalauda_dunni,1.52438015386761,-0.2791629806160927,10.11242778354384,-5.391676068305969,8.13377957136576,2.5900244805420423,2.545664759903273,3.0239989993615395,4.164573780745819
70,Lagonosticta_senegala,1.4278743439141486,-0.42474575340747833,12.357062592215163,-5.042198896408081,8.451410943327538,2.7167534048057878,2.8589639340170714,2.9989622076534617,4.126233625601934
